Hindi,English
नागरिक,citizen
नेहरू,Nehru
देन,donation
गिरने,falling
गहरे,deep
उपन्यास,Novel
इलाके,area
आन्तरिक,internal
हिन्दुस्तान,Hindustan
संसद,Parliament
स्वीकृति,Acceptance
संपर्क,Contact
विभाजन,Division
लौटने,returning
यूरोप,Europe
मंच,stage
भाग्य,Luck
बेहद,extremely
बुलाया,called
पाए,found
प्रयोगशाला,laboratory
प्रमाणित,Certified
प्रभावशाली,Impressive
जीत,Victory
जानवरों,animals
गुस्से,anger
गर्दन,Neck
गुरू,Guru
अधिकतम,Maximum
सृष्टि,Nature
शिक्षित,Educated
शहद,Honey
वरन,Otherwise
रोम,Rome
बदन,body
फैला,spread
फेंक,throw
पिछड़े,backward
परिश्रम,labor
परिवारों,families
परिभाषा,Definition
प्रारम्भिक,initial
पुरुषों,men
निरीक्षण,inspection
दास,Slave
देव,God
ताकत,Strength
तंत्र,Mechanism
तत्कालीन,then
तकनीक,technology
चलाने,run
गठन,Formation
अनुभूति,Feeling
हिन्दुओं,Hindus
हिंदू,Hindu
हालांकि,Although
सामूहिक,collective
सरकारों,governments
संयंत्र,plant
सुंदर,Beautiful
सृजन,Creation
वैसी,such
लावनी,Lavani
लक्षणों,symptoms
राहुलजी,Rahulji
युवा,Youth
मूर्ति,statue
बेर,Berry
पाण्डु,Pandu
ध्रुपद,Dhrupad
तथ्यों,facts
ढेर,heap
जायें,Go
ग्रन्थों,texts
गणित,Mathematic
कहानियों,Stories
अशोक,Ashoka
साबित,Proved
समझना,Understand
संज्ञा,Noun
शांत,Calm
श्रीलंका,Sri Lanka
श्रमिक,workers
शर्त,Condition
लिपि,script
मानवीय,human
पक्षियों,birds
निवासी,Resident
तुलनात्मक,comparative
चमक,Glow
गोल,Round
खाकर,after eating
कोट,Coat
इंच,inch
आसन,Posture
अकेला,alone
शर्मा,Sharma
विश्वविद्यालय,university
विधायक,Legislator
वर्मा,Varma
वैद्य,Vaidya
राजस्थानी,Rajasthani
मानना,Accept
भरपूर,abundant
भगत,follower
बस्ती,settlement
बैठने,sitting
प्रतिभा,Talent
प्रजा,people
प्रकोप,outbreak
नायक,hero
दोस्त,Friend
तिवारी,Tiwari
घड़ी,Watch
गलती,Mistake
कार्बन,Carbon
उपचार,treatment
ईसाई,Christian
आवेदन,Application
आयुर्वेद,Ayurveda
आदर,Respect
अत्याचार,Atrocity
हिमालय,Himalaya
हंस,Swan
सोचता,thinks
विश्वनाथ,Vishwanath
वेतन,Salary
मथुरा,Mathura
भाभी,Sister in law
भेजे,send
ब्यूरो,Bureau
बनती,Banati
पक्षों,sides
घरेलू,domestic
गणना,calculation
कहलाता,called
कलावती,Kalavati
करना,to do
उदाहरणार्थ,for example
उड़,fly
आघात,stroke
हमला,assault
व्यावसायिक,commercial
लोकप्रिय,popular
रेलवे,Railway
मिश्रित,miscellaneous
महान,Great
मेहनत,Hard work
बिन्दु,point
फलतः,As a result
प्रोफेसर,Professor
प्रचलन,prevalence
औसत,average
एकाएक,suddenly
उपस्थिति,appearance
उन्नति,Development
आधे,half
अली,Ali
सरस्वती,Saraswati
समर्थ,capable
सम्भवतः,possibly
सड़कों,roads
विशेषज्ञ,expert
विद्रोह,Rebellion
वात,vata
व्यस्त,Busy
लाकर,by bringing
राव,Rao
योजनाओं,schemes
मंत्र,mantra
बताने,tell
बताते,telling
प्रश्नों,questions
पकड़ा,caught
नोट,Note
निवेदन,Request
न्याय,Justice
धूल,dust
दाने,rash
दान,Donation
देवीगढ़,Devigarh
तरल,liquid
कोरियाई,Korean
किलोमीटर,kilometer
किताब,Book
क्षमा,Forgiveness
इंजन,engine
आए,come
असफल,fail
हल्की,light
सावित्री,Savitri
सरदार,Sardar
सगर्भता,pregnancy
शुभ,auspicious
लहर,wave
लेखा,Accounting
मासिक,monthly
मद्रास,Madras
मंगल,Fortunate
भली,well
भेजने,send
बिजलीघर,Electricity house
बनाता,makes
पवित्र,Holy
परिषद,council
परि,fairy
पूछा,Asked
नौकर,Servant
निकालकर,by removing
नासिक्य,nasal
तापमान,temperature
तरीका,Method
झूठ,Lie
जाती,caste
छुट्टी,Holiday
घाट,Ghat
गोबर,Cow dung
कामों,chores
कश्मीर,Kashmir
ऊंची,high
उन्नत,Advanced
आजाद,Azad
आग्रह,insistence
अमृतसर,Amritsar
अनु,Anu
अद्भुत,Wonderful
अतः,Therefore
सिखों,Sikhs
साधु,Saint
संदेश,Message
लिखित,written
लेप,coating
मर्यादा,dignity
मेज,table
मुख्यतः,mainly
भाजपा,BJP
बेकार,Useless
पैदावार,yield
नाश,Destruction
दलों,parties
जापान,Japan
गोपाल,Gopal
कोशिकाओं,cells
काटने,Cutting
कूद,jump
उपदेश,Sermon
उड़ान,flight
अंतरिक्ष,space
सहसा,Suddenly
व्यास,Diameter
मित्रों,Friends
भोग,enjoyment
बुला,Call
प्रातः,in the morning
पढ़ा,read
पढ़ते,reading
घोड़ा,Horse
गुफा,Cave
खुल,open
खुराक,diet
उपायों,measures
उपयोगिता,utility
इलाज,Treatment
आवाज़,sound
आलू,Potato
हटा,Remove
स्वस्तिक,Swastika
समीक्षा,Review
संक्रमण,Infection
सैकड़ों,hundreds
शोर,Noise
शब्दावली,vocabulary
यौगिक,compound
मना,deny
मंडल,Board
बचने,avoid
प्रेमनाथ,Premnath
परम,Supreme
निधि,Fund
नेताजी,Netaji
चुनौती,challenge
गौतम,Gautam
खिड़की,window
किस्में,Varieties
करते,Do
कटाई,Harvesting
असाधारण,Extraordinary
स्मरण,memory
समग्र,overall
सुनी,heard
रेडियो,radio
मामूली,minor
बीमार,Sick
फायदा,Benefit
पुराणों,Puranas
प्रस्तावों,proposals
प्रधानता,primacy
पन्द्रह,fifteen
नाव,boat
तुल्फ,Tulf
तत्काल,Immediately
जोड़ा,couple
चाल,move
चूहे,mice
चलना,Walking
गाया,sang
गला,throat
खैर,well
कोर्ट,Court
कराना,get it done
कंपनी,Company
इसने,This
इनको,These
अर्थव्यवस्था,economy
अंचल,Zone
हल्का,Light
सुनिश्चित,ensure
वरना,Otherwise
बुनियादी,basic
दैनिक,daily
जुड़े,Connected
घुस,sneak in
खुली,open
कुमार,Kumar
कुमाऊँ,Kumaon
आंगन,courtyard
