,Hindi,English
1272,का,Of
1273,अन्तर्राष्ट्रीय,International
1274,सहन,Tolerate
1275,शेर,Lion
1276,वैसा,like that
1277,वस्त्र,clothes
1278,लक्ष्मी,Laxmi
1279,रूक,Rook
1280,मुक्ति,Freedom
1281,प्रोटीन,Protein
1282,चलकर,by walking
1283,गंभीर,Serious
1284,आधी,half
1285,अंकन,marking
1286,हिंदी,Hindi
1287,शान्त,calm
1288,शांति,Calmness
1289,वर्गों,sections
1290,वृक्षों,trees
1291,रोगों,diseases
1292,बम्बई,Bombay
1293,प्रथा,custom
1294,चीजों,things
1295,अतएव,Therefore
1296,सकती,can
1297,महिलाओं,women
1298,बाह्य,external
1299,प्रेरित,Inspired
1300,निहित,vested
1301,दिखाया,showed
1302,डालने,insert
1303,डेढ़,one and a half
1304,गैर,Non
1305,सम्पत्ति,property
1306,श्रद्धा,Admiration
1307,वार्ता,Negotiation
1308,लड़कों,boys
1309,मानने,to believe
1310,मुझ,Me
1311,नमक,Salt
1312,छवि,image
1313,चाचा,Uncle
1314,चलो,Let us go
1315,करेगा,will
1316,हिमाचल,Himachal
1317,स्मिता,Smita
1318,स्थल,site
1319,रखती,holds
1320,रकम,amount
1321,पहुंचने,arriving
1322,नाना,Grandfather
1323,दरवाजा,Door
1324,दुकान,Shop
1325,ठोस,Solid
1326,जेब,pocket
1327,चिन्तन,contemplation
1328,गर्मी,Heat
1329,खरीद,Purchase
1330,क्रांति,Revolution
1331,ऋतु,season
1332,सुनाई,heard
1333,विद्यालयों,schools
1334,लिखने,write
1335,लखनऊ,Lucknow
1336,राग,melody
1337,बरस,year
1338,ब्रज,Braj
1339,पश्चात,after
1340,डाली,branch
1341,गृह,Home
1342,अकाली,Akali
1343,सावधानी,Caution
1344,सेवन,intake
1345,स्वतन्त्रता,freedom
1346,शून्य,Zero
1347,विद्यार्थियों,students
1348,मोटी,fat
1349,भ्रष्टाचार,Corruption
1350,देह,body
1351,तेरे,yours
1352,कार्रवाई,action
1353,कार्यवाही,Proceeding
1354,इस्लाम,Islam
1355,आश्रम,Ashram
1356,आकर्षण,Attraction
1357,हिस्से,parts
1358,सम्राट,King
1359,परेशान,Worried
1360,परम्परागत,traditional
1361,दिसम्बर,December
1362,जनसंख्या,population
1363,घोषित,declared
1364,ऋषि,sage
1365,अखबार,Newspaper
1366,रूपों,forms
1367,भस्म,ashes
1368,बगल,Next
1369,परिस्थिति,Situation.
1370,निगम,Corporation
1371,नारायण,Narayan
1372,तुरंत,Immediately
1373,ढोला,Dhola
1374,डालकर,by putting
1375,चावल,Rice
1376,गणेश,Ganesh
1377,कार्यक्रमों,programs
1378,उठी,got up
1379,ईश्वर,God
1380,आतंकवादी,Terrorist
1381,आँख,eye
1382,अदालत,court
1383,होटल,hotel
1384,हार,Garland
1385,हजारों,thousands
1386,संदेह,Doubt
1387,संक्षिप्त,Short
1388,विद्वान,Scholar
1389,व्रत,Fast
1390,महत्व,Importance
1391,भयंकर,Terrifying
1392,बेहतर,better
1393,ब्रिटिश,British
1394,प्रिय,Dear
1395,नियुक्त,appointed
1396,गम्भीर,serious
1397,उक्त,said
1398,अमल,Amal
1399,हवाई,Airport
1400,हरे,green
1401,स्वर्णमंदिर,Golden Temple
1402,ली,Took
1403,मामला,Case
1404,मछली,fish
1405,बचपन,Childhood
1406,बैंकों,banks
1407,पान,betel leaf
1408,प्राण,Life
1409,प्रतिक्रिया,feedback
1410,जीवाणु,bacteria
1411,छाती,Chest
1412,गढ़वाल,Garhwal
1413,खुला,open
1414,कार,car
1415,क्रियाओं,actions
1416,अम्मा,Mother
1417,अंगों,organs
1418,सन्देह,doubt
1419,विवाद,Controversy
1420,लड़कियों,girls
1421,बाहरी,external
1422,बारी,turn
1423,प्लेग,plague
1424,पुरुष,Male
1425,दोपहर,Afternoon
1426,तमिल,Tamil
1427,चौधरी,Chowdhary
1428,आचरण,Behaviour
1429,अनाज,Cereal
1430,ही,only
1431,सिरे,ends
1432,साढ़े,half past
1433,संयोग,coincidence
1434,विमर्श,discussion
1435,विधियों,methods
1436,व्यावहारिक,practical
1437,वचन,Promise
1438,रात्रि,night
1439,भावों,emotions
1440,भेंट,gift
1441,बुआई,sowing
1442,पैरों,feet
1443,पुराना,Old
1444,प्रतीक्षा,Wait
1445,पत्रों,Letters
1446,पड़ेगा,will have to
1447,जाओ,Go
1448,किस्मों,Varieties
1449,किन,Why
1450,उठे,got up
1451,आचार्य,Acharya
1452,आई,I
1453,अफ्रीका,Africa
1454,अतीत,past
1455,हल्के,lightweight
1456,सागर,Sea
1457,शाह,Shah
1458,शान्ति,peace
1459,विदेश,Foreign
1460,वजन,Weight
1461,लाखों,millions
1462,प्रारंभ,Start
1463,प्राणियों,creatures
1464,निर्देश,Instruction
1465,दावा,Claim
1466,दे,Give
1467,चाहा,wanted
1468,उदास,Downhearted
1469,उत्तरी,Northern
1470,असली,Real
1471,हिम्मत,Courage
1472,हरी,green
1473,स्नेह,affection
1474,शासक,ruler
1475,बदले,change
1476,बचाने,save
1477,प्रतिनिधि,Representative
1478,दरअसल,In fact
1479,देखभाल,care
1480,तने,stem
1481,जानती,knows
1482,केंद्र,Center
1483,औषधि,medicine
1484,उत्सव,Celebration
1485,इनसे,from these
1486,साथियों,Friends
1487,संसाधन,resources
1488,सदन,House
1489,सूखे,dried
1490,संकल्प,Resolution
1491,शक्तिशाली,powerful
1492,व्यर्थ,Useless
1493,मिश्रण,mixture
1494,बोरोन,Boron
1495,निकालने,extract
1496,घूम,roaming
1497,गुस्सा,Anger
1498,क्षति,damage
1499,उठती,rising
1500,अरब,Arab
1501,अत्यंत,extremely
1502,अक्षर,Letter
1503,संस्थानों,institutions
1504,सुपर,Super
1505,संगठनों,organizations
1506,विशेषकर,especially
1507,वेद,Veda
1508,महाराजा,King
1509,भरत,Bharat
1510,बोझ,Burden
1511,बादल,Cloud
1512,बयान,statement
1513,पत्तियां,leaves
1514,चढ़,climb
1515,उम्मीद,Hope
1516,उपेक्षा,Ignore
1517,सिद्धान्तों,principles
1518,स्व,Self
1519,सुनते,listen
1520,सकते,Can
1521,रबड़,rubber
1522,मेल,Match
1523,मेकअप,Makeup
1524,भूत,Evil spirit
1525,बनते,becoming
1526,प्रशंसा,Appreciation
1527,प्रतिदिन,daily
1528,पूछ,ask
1529,दबाव,Pressure
1530,दण्ड,punishment
1531,टुकड़े,pieces
1532,गहराई,depth
1533,खींच,pull
1534,उर्वरक,fertilizer
1535,हिंसा,violence
1536,साधना,Sadhana
1537,सेवाओं,services
1538,सर्वथा,absolutely
1539,लेखन,writing
1540,परेशानी,Trouble
1541,प्रताप,Pratap
1542,पेड़ों,trees
1543,चेष्टा,effort
1544,व्याकरण,grammar
1545,लाइसेंस,License
1546,ललित,Lalit
1547,रूस,Russia
1548,मील,mile
1549,बर्फ,Ice
1550,पाप,Sin
1551,पुत्री,Daughter
1552,दफ्तर,Workplace
1553,जानवर,Animal
1554,गाने,Songs
1555,कार्यकर्ता,worker
1556,कलाकारों,artists
1557,करता,does
1558,उत्पाद,product
1559,आएँ,Come
1560,सोचते,think
1561,सीख,learn
1562,सास,Mother in law
1563,वीणा,Veena
1564,यूरेनियम,Uranium
1565,मौलिक,fundamental
1566,मारने,kill
1567,मुहम्मद,Muhammad
1568,बिल,Bill
1569,बचत,savings
1570,प्रावधान,Provision
1571,पचास,fifty
1572,नागरिक,citizen
1573,नेहरू,Nehru
1574,देन,donation
1575,गिरने,falling
1576,गहरे,deep
1577,उपन्यास,Novel
1578,इलाके,area
1579,आन्तरिक,internal
1580,हिन्दुस्तान,Hindustan
1581,संसद,Parliament
1582,स्वीकृति,Acceptance
1583,संपर्क,Contact
1584,विभाजन,Division
1585,लौटने,returning
1586,यूरोप,Europe
1587,मंच,stage
1588,भाग्य,Luck
1589,बेहद,extremely
1590,बुलाया,called
1591,पाए,found
1592,प्रयोगशाला,laboratory
1593,प्रमाणित,Certified
1594,प्रभावशाली,Impressive
1595,जीत,Victory
1596,जानवरों,animals
1597,गुस्से,anger
1598,गर्दन,Neck
1599,गुरू,Guru
1600,अधिकतम,Maximum
1601,सृष्टि,Nature
1602,शिक्षित,Educated
1603,शहद,Honey
1604,वरन,Otherwise
1605,रोम,Rome
1606,बदन,body
1607,फैला,spread
1608,फेंक,throw
1609,पिछड़े,backward
1610,परिश्रम,labor
1611,परिवारों,families
1612,परिभाषा,Definition
1613,प्रारम्भिक,initial
1614,पुरुषों,men
1615,निरीक्षण,inspection
1616,दास,Slave
1617,देव,God
1618,ताकत,Strength
1619,तंत्र,Mechanism
1620,तत्कालीन,then
1621,तकनीक,technology
1622,चलाने,run
1623,गठन,Formation
1624,अनुभूति,Feeling
1625,हिन्दुओं,Hindus
1626,हिंदू,Hindu
1627,हालांकि,Although
1628,सामूहिक,collective
1629,सरकारों,governments
1630,संयंत्र,plant
1631,सुंदर,Beautiful
1632,सृजन,Creation
1633,वैसी,such
1634,लावनी,Lavani
1635,लक्षणों,symptoms
1636,राहुलजी,Rahulji
1637,युवा,Youth
1638,मूर्ति,statue
1639,बेर,Berry
1640,पाण्डु,Pandu
1641,ध्रुपद,Dhrupad
1642,तथ्यों,facts
1643,ढेर,heap
1644,जायें,Go
1645,ग्रन्थों,texts
1646,गणित,Mathematic
1647,कहानियों,Stories
1648,अशोक,Ashoka
1649,साबित,Proved
1650,समझना,Understand
1651,संज्ञा,Noun
1652,शांत,Calm
1653,श्रीलंका,Sri Lanka
1654,श्रमिक,workers
1655,शर्त,Condition
1656,लिपि,script
1657,मानवीय,human
1658,पक्षियों,birds
1659,निवासी,Resident
1660,तुलनात्मक,comparative
1661,चमक,Glow
1662,गोल,Round
1663,खाकर,after eating
1664,कोट,Coat
1665,इंच,inch
1666,आसन,Posture
1667,अकेला,alone
1668,शर्मा,Sharma
1669,विश्वविद्यालय,university
1670,विधायक,Legislator
1671,वर्मा,Varma
1672,वैद्य,Vaidya
1673,राजस्थानी,Rajasthani
1674,मानना,Accept
1675,भरपूर,abundant
1676,भगत,follower
1677,बस्ती,settlement
1678,बैठने,sitting
1679,प्रतिभा,Talent
1680,प्रजा,people
1681,प्रकोप,outbreak
1682,नायक,hero
1683,दोस्त,Friend
1684,तिवारी,Tiwari
1685,घड़ी,Watch
1686,गलती,Mistake
1687,कार्बन,Carbon
1688,उपचार,treatment
1689,ईसाई,Christian
1690,आवेदन,Application
1691,आयुर्वेद,Ayurveda
1692,आदर,Respect
1693,अत्याचार,Atrocity
1694,हिमालय,Himalaya
1695,हंस,Swan
1696,सोचता,thinks
1697,विश्वनाथ,Vishwanath
1698,वेतन,Salary
1699,मथुरा,Mathura
1700,भाभी,Sister in law
1701,भेजे,send
1702,ब्यूरो,Bureau
1703,बनती,Banati
1704,पक्षों,sides
1705,घरेलू,domestic
1706,गणना,calculation
1707,कहलाता,called
1708,कलावती,Kalavati
1709,करना,to do
1710,उदाहरणार्थ,for example
1711,उड़,fly
1712,आघात,stroke
1713,हमला,assault
1714,व्यावसायिक,commercial
1715,लोकप्रिय,popular
1716,रेलवे,Railway
1717,मिश्रित,miscellaneous
1718,महान,Great
1719,मेहनत,Hard work
1720,बिन्दु,point
1721,फलतः,As a result
1722,प्रोफेसर,Professor
1723,प्रचलन,prevalence
1724,औसत,average
1725,एकाएक,suddenly
1726,उपस्थिति,appearance
1727,उन्नति,Development
1728,आधे,half
1729,अली,Ali
1730,सरस्वती,Saraswati
1731,समर्थ,capable
1732,सम्भवतः,possibly
1733,सड़कों,roads
1734,विशेषज्ञ,expert
1735,विद्रोह,Rebellion
1736,वात,vata
1737,व्यस्त,Busy
1738,लाकर,by bringing
1739,राव,Rao
1740,योजनाओं,schemes
1741,मंत्र,mantra
1742,बताने,tell
1743,बताते,telling
1744,प्रश्नों,questions
1745,पकड़ा,caught
1746,नोट,Note
1747,निवेदन,Request
1748,न्याय,Justice
1749,धूल,dust
1750,दाने,rash
1751,दान,Donation
1752,देवीगढ़,Devigarh
1753,तरल,liquid
1754,कोरियाई,Korean
1755,किलोमीटर,kilometer
1756,किताब,Book
1757,क्षमा,Forgiveness
1758,इंजन,engine
1759,आए,come
1760,असफल,fail
1761,हल्की,light
1762,सावित्री,Savitri
1763,सरदार,Sardar
1764,सगर्भता,pregnancy
1765,शुभ,auspicious
1766,लहर,wave
1767,लेखा,Accounting
1768,मासिक,monthly
1769,मद्रास,Madras
1770,मंगल,Fortunate
1771,भली,well
1772,भेजने,send
1773,बिजलीघर,Electricity house
1774,बनाता,makes
1775,पवित्र,Holy
1776,परिषद,council
1777,परि,fairy
1778,पूछा,Asked
1779,नौकर,Servant
1780,निकालकर,by removing
1781,नासिक्य,nasal
1782,तापमान,temperature
1783,तरीका,Method
1784,झूठ,Lie
1785,जाती,caste
1786,छुट्टी,Holiday
1787,घाट,Ghat
1788,गोबर,Cow dung
1789,कामों,chores
1790,कश्मीर,Kashmir
1791,ऊंची,high
1792,उन्नत,Advanced
1793,आजाद,Azad
1794,आग्रह,insistence
1795,अमृतसर,Amritsar
1796,अनु,Anu
1797,अद्भुत,Wonderful
1798,अतः,Therefore
1799,सिखों,Sikhs
1800,साधु,Saint
1801,संदेश,Message
1802,लिखित,written
1803,लेप,coating
1804,मर्यादा,dignity
1805,मेज,table
1806,मुख्यतः,mainly
1807,भाजपा,BJP
1808,बेकार,Useless
1809,पैदावार,yield
1810,नाश,Destruction
1811,दलों,parties
1812,जापान,Japan
1813,गोपाल,Gopal
1814,कोशिकाओं,cells
1815,काटने,Cutting
1816,कूद,jump
1817,उपदेश,Sermon
1818,उड़ान,flight
1819,अंतरिक्ष,space
1820,सहसा,Suddenly
1821,व्यास,Diameter
1822,मित्रों,Friends
1823,भोग,enjoyment
1824,बुला,Call
1825,प्रातः,in the morning
1826,पढ़ा,read
1827,पढ़ते,reading
1828,घोड़ा,Horse
1829,गुफा,Cave
1830,खुल,open
1831,खुराक,diet
1832,उपायों,measures
1833,उपयोगिता,utility
1834,इलाज,Treatment
1835,आवाज़,sound
1836,आलू,Potato
1837,हटा,Remove
1838,स्वस्तिक,Swastika
1839,समीक्षा,Review
1840,संक्रमण,Infection
1841,सैकड़ों,hundreds
1842,शोर,Noise
1843,शब्दावली,vocabulary
1844,यौगिक,compound
1845,मना,deny
1846,मंडल,Board
1847,बचने,avoid
1848,प्रेमनाथ,Premnath
1849,परम,Supreme
1850,निधि,Fund
1851,नेताजी,Netaji
1852,चुनौती,challenge
1853,गौतम,Gautam
1854,खिड़की,window
1855,किस्में,Varieties
1856,करते,Do
1857,कटाई,Harvesting
1858,असाधारण,Extraordinary
1859,स्मरण,memory
1860,समग्र,overall
1861,सुनी,heard
1862,रेडियो,radio
1863,मामूली,minor
1864,बीमार,Sick
1865,फायदा,Benefit
1866,पुराणों,Puranas
1867,प्रस्तावों,proposals
1868,प्रधानता,primacy
1869,पन्द्रह,fifteen
1870,नाव,boat
1871,तुल्फ,Tulf
1872,तत्काल,Immediately
1873,जोड़ा,couple
1874,चाल,move
1875,चूहे,mice
1876,चलना,Walking
1877,गाया,sang
1878,गला,throat
1879,खैर,well
1880,कोर्ट,Court
1881,कराना,get it done
1882,कंपनी,Company
1883,इसने,This
1884,इनको,These
1885,अर्थव्यवस्था,economy
1886,अंचल,Zone
1887,हल्का,Light
1888,सुनिश्चित,ensure
1889,वरना,Otherwise
1890,बुनियादी,basic
1891,दैनिक,daily
1892,जुड़े,Connected
1893,घुस,sneak in
1894,खुली,open
1895,कुमार,Kumar
1896,कुमाऊँ,Kumaon
1897,आंगन,courtyard
